#****  HMS RUNS *****
#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_ca48_35degm4p08  35.00  4080  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_35degm3p57  35.00  3570  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_35degm3p09  35.00  3090  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_35degm2p72  35.00  2720  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_35degm2p40  35.00  2400  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_35degm2p11  35.00  2110  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_35degm1p85  35.00  1850  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_35degm1p63  35.00  1630  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_35degm1p44  35.00  1440  0.00   0.00   0.00   0.00   0.5763  10.42
hms_mc_ca48_35degm1p26  35.00  1260  0.00   0.00   0.00   0.00   0.5763  10.42

#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_d2_35degm4p08  35.00  4080  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_35degm3p57  35.00  3570  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_35degm3p09  35.00  3090  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_35degm2p72  35.00  2720  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_35degm2p40  35.00  2400  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_35degm2p11  35.00  2110  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_35degm1p85  35.00  1850  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_35degm1p63  35.00  1630  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_35degm1p44  35.00  1440  0.00   0.00   0.00   0.00   9.998  754.3
hms_mc_d2_35degm1p26  35.00  1260  0.00   0.00   0.00   0.00   9.998  754.3

#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_he3_35degm4p08  35.00  4080  0.00   0.00   0.00   0.00   9.998  1733
hms_mc_he3_35degm3p57  35.00  3570  0.00   0.00   0.00   0.00   9.998  1733
hms_mc_he3_35degm3p09  35.00  3090  0.00   0.00   0.00   0.00   9.998  1733
hms_mc_he3_35degm2p72  35.00  2720  0.00   0.00   0.00   0.00   9.998  1733
hms_mc_he3_35degm2p40  35.00  2400  0.00   0.00   0.00   0.00   9.998  1733
hms_mc_he3_35degm2p11  35.00  2110  0.00   0.00   0.00   0.00   9.998  1733
hms_mc_he3_35degm1p85  35.00  1850  0.00   0.00   0.00   0.00   9.998  1733
hms_mc_he3_35degm1p63  35.00  1630  0.00   0.00   0.00   0.00   9.998  1733
hms_mc_he3_35degm1p44  35.00  1440  0.00   0.00   0.00   0.00   9.998  1733
hms_mc_he3_35degm1p26  35.00  1260  0.00   0.00   0.00   0.00   9.998  1733

#file             angle  p_cen beam x  tar z   spec y  spec x  targ    radlen
#name             (deg)  (MeV) off(cm) off(cm) off(cm) off(cm) len(cm) (cm)
hms_mc_he4_35degm4p08  35.00  4080  0.00   0.00   0.00   0.00   9.998  729.5
hms_mc_he4_35degm3p57  35.00  3570  0.00   0.00   0.00   0.00   9.998  729.5
hms_mc_he4_35degm3p09  35.00  3090  0.00   0.00   0.00   0.00   9.998  729.5
hms_mc_he4_35degm2p72  35.00  2720  0.00   0.00   0.00   0.00   9.998  729.5
hms_mc_he4_35degm2p40  35.00  2400  0.00   0.00   0.00   0.00   9.998  729.5
hms_mc_he4_35degm2p11  35.00  2110  0.00   0.00   0.00   0.00   9.998  729.5
hms_mc_he4_35degm1p85  35.00  1850  0.00   0.00   0.00   0.00   9.998  729.5
hms_mc_he4_35degm1p63  35.00  1630  0.00   0.00   0.00   0.00   9.998  729.5
hms_mc_he4_35degm1p44  35.00  1440  0.00   0.00   0.00   0.00   9.998  729.5
hms_mc_he4_35degm1p26  35.00  1260  0.00   0.00   0.00   0.00   9.998  729.5
